"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth","qc_flag"
"80","P002","","","avocado and coffee growing areas, Upper Tana, Kenya","Kenya","agri-food","conservation-linked value chains","farmers in avocado and coffee value chains who adopted soil-and-water conservation measures were connected to new private-sector partnerships and commercial networks","explicitly connecting environmental practices to market access and income opportunities","subsistence farmer","transformed subsistence farms into commercially viable enterprises","","","","outcome","IEO implementation document review","2",""
"81","P002","","","national and county levels, Kenya","Kenya","cross cutting","policy formulation support","child project contributed to formulation of national and county-level policies covering wetlands, invasive species management, mining and quarry regulation, and rural road development","contributions to national policy frameworks or planning instruments","","contributed to the formulation of four national and county-level policies","4","","national and county-level policies","outcome","IEO implementation document review","2","activity deliverable - check result_level is process or output"
"82","P002","","","Malawi","Malawi","land use","resilience of agro-ecological systems","Food-IAP: Enhancing the Resilience of Agro-Ecological Systems (ERASP), GEF ID 9138, IFAD, $7.2 million GEF grant, $87.4 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"83","P002","","","Malawi","Malawi","cross cutting","watershed development capacity","ERASP benefited from coordination among IFAD, World Bank, and UNDP projects to build watershed development capacity among local institutions","external coherence through collaboration among GEF Agencies","","","","","","","implementation document review and interviews","1",""
"84","P002","","","Malawi","Malawi","farming system-crop","irrigation infrastructure","infrastructure improvements, notably for irrigation","enhanced climate resilience and food security","","enhanced climate resilience and food security","","","","outcome","implementation document review and terminal evaluations","2",""
"85","P002","","","Malawi","Malawi","farming system-crop","participatory agricultural extension","participatory extension models - farmer field schools and lead farmer approaches - accelerated knowledge diffusion","knowledge diffusion of sustainable practices","smallholder farmer","","","","","","implementation document review and terminal evaluations","1",""
"86","P002","","","Niger","Niger","farming system-mixed","family farming development","Food-IAP: Family Farming Development Programme (ProDAF), GEF ID 9136, IFAD, $7.6 million GEF grant, $60.3 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"87","P002","","","Niger","Niger","farming system-crop","farmer field school training","ProDAF built capacity for producers through farmer field schools","training to set the stage for income, productivity, or resilience gains","producer","built capacity for more than 13,000 producers through farmer field schools","13000","","producers trained","output","IEO implementation document review","2",""
"88","P002","","","Niger","Niger","land use","degraded land rehabilitation","combined mechanical and biological treatments, including erosion control structures and native vegetation planting","adoption of sustainable land and water management practices","","more than 31,000 hectares of degraded land were rehabilitated","31000","","hectares of degraded land rehabilitated","outcome","IEO implementation document review","2",""
"89","P002","","","assisted natural regeneration sites, Niger","Niger","land use","community-managed natural regeneration","a 'concerted action' framework created community-rooted structures to manage assisted natural regeneration sites as sources of timber and non-timber products","empowering local institutions to co-own interventions, aiming for benefits to remain within the communities","community","","","","","","IEO implementation document review","1",""
